Latitude (X),Longitude(Y),Depth
-74.5286100,39.4957500,0.0000000
-74.5286100,39.4957600,0.0000000
-74.5286100,39.4957700,0.0000000
-74.5286100,39.4957800,0.0000000
-74.5286100,39.4957900,0.0000000
-74.5286100,39.4958000,0.0000000
-74.5286000,39.4958100,0.0000000
-74.5286000,39.4958200,0.0000000
-74.5285900,39.4958300,0.0000000
-74.5285900,39.4958400,0.0000000
-74.5285900,39.4958500,0.0000000
-74.5285900,39.4958500,0.0000000
-74.5285900,39.4958600,0.0000000
-74.5286000,39.4958700,0.0000000
-74.5286000,39.4958800,0.0000000
-74.5286000,39.4959000,0.0000000
-74.5286000,39.4959000,0.0000000
-74.5285900,39.4959100,0.0000000
-74.5286000,39.4959200,0.0000000
-74.5286000,39.4959300,0.0000000
-74.5286000,39.4959400,0.0000000
-74.5286100,39.4959500,0.0000000
-74.5286100,39.4959700,0.0000000
-74.5286000,39.4959800,0.0000000
-74.5286000,39.4959900,0.0000000
-74.5286000,39.4960000,0.0000000
-74.5286000,39.4960100,0.0000000
-74.5286000,39.4960200,0.0000000
-74.5286100,39.4960300,0.0000000
-74.5286100,39.4960400,0.0000000
-74.5286100,39.4960600,0.0000000
-74.5286100,39.4960700,0.0000000
-74.5286100,39.4960900,0.0000000
-74.5286000,39.4961000,0.0000000
-74.5286000,39.4961100,0.0000000
-74.5286000,39.4961200,0.0000000
-74.5286100,39.4961300,0.0000000
-74.5286100,39.4961400,0.0000000
-74.5286000,39.4961400,0.0000000
-74.5286000,39.4961500,0.0000000
-74.5286000,39.4961700,0.0000000
-74.5286100,39.4961700,0.0000000
-74.5286100,39.4961900,0.0000000
-74.5286100,39.4962000,0.0000000
-74.5286300,39.4962000,0.0000000
-74.5286300,39.4962200,0.0000000
-74.5286300,39.4962300,0.0000000
-74.5286300,39.4962400,0.0000000
-74.5286400,39.4962500,0.0000000
-74.5286300,39.4962500,0.0000000
-74.5286300,39.4962700,0.0000000
-74.5286300,39.4962800,0.0000000
-74.5286400,39.4962900,0.0000000
-74.5286400,39.4963000,0.0000000
-74.5286500,39.4963100,0.0000000
-74.5286500,39.4963200,0.0000000
-74.5286600,39.4963300,0.0000000
-74.5286800,39.4963400,0.0000000
-74.5286900,39.4963400,0.0000000
-74.5287000,39.4963300,0.0000000
-74.5287200,39.4963300,0.0000000
-74.5287200,39.4963300,0.0000000
-74.5287300,39.4963300,0.0000000
-74.5287500,39.4963300,0.0000000
-74.5287600,39.4963300,0.0000000
-74.5287800,39.4963300,0.0000000
-74.5287800,39.4963200,0.0000000
-74.5288000,39.4963300,0.0000000
-74.5288000,39.4963300,0.0000000
-74.5288100,39.4963300,0.0000000
-74.5288200,39.4963300,0.0000000
-74.5288200,39.4963300,0.0000000
-74.5288300,39.4963400,0.0000000
-74.5288500,39.4963400,0.0000000
