Lat(X) Modified,Long(Y) Modified,Depth
39.5978,18.8172,2.5
39.508,20.6267,2.8
39.508,22.9234,2.9
39.508,25.2898,2.7
39.5978,26.8209,2.5
0.7,16.1,0
0.6,16,0
0.6,16,0
0.5,15.9,0
0.5,15.8,0
0.5,15.7,0
0.4,15.6,0
0.4,15.5,0
0.4,15.5,0
0.4,15.4,0
0.3,15.3,0
0.3,15.3,0
0.2,15.2,0
0.2,15.1,0
0.2,15,0
0.2,14.9,0
0.2,14.8,0
0.2,14.7,0
0.1,14.6,0
0.1,14.5,0
0,14.4,0
0,14.3,0
0,14.2,0
0,14.2,0
0,14.1,0
0.1,14,0
0.1,13.9,0
0.1,13.7,0
0.1,13.7,0
0,13.6,0
0.1,13.5,0
0.1,13.4,0
0.1,13.3,0
0.2,13.2,0
0.2,13,0
0.1,12.9,0
0.1,12.8,0
0.1,12.7,0
0.1,12.6,0
0.1,12.5,0
0.2,12.4,0
0.2,12.3,0
0.2,12.1,0
0.2,12,0
0.2,11.8,0
0.1,11.7,0
0.1,11.6,0
0.1,11.5,0
0.2,11.4,0
0.2,11.3,0
0.1,11.3,0
0.1,11.2,0
0.1,11,0
0.2,11,0
0.2,10.8,0
0.2,10.7,0
0.4,10.7,0
0.4,10.5,0
0.4,10.4,0
0.4,10.3,0
0.5,10.2,0
0.4,10.2,0
0.4,10,0
0.4,9.9,0
0.5,9.8,0
0.5,9.7,0
0.6,9.6,0
0.6,9.5,0
0.7,9.4,0
0.9,9.3,0
1,9.3,0
1.1,9.4,0
1.3,9.4,0
1.3,9.4,0
1.4,9.4,0
1.6,9.4,0
1.7,9.4,0
1.9,9.4,0
1.9,9.5,0
2.1,9.4,0
2.1,9.4,0
2.2,9.4,0
2.3,9.4,0
2.3,9.4,0
2.4,9.3,0
2.6,9.3,0
2.6,9.3,0
2.8,9.3,0
2.8,9.3,0
2.9,9.2,0
3,9.2,0
3.1,9.1,0
3.2,9.1,0
3.3,9.1,0
3.4,9,0
3.5,9,0
3.6,9,0
3.6,8.8,0
3.8,8.8,0
3.8,8.6,0
3.9,8.6,0
4.2,8.6,0
4.2,8.5,0
4.3,8.4,0
4.5,8.4,0
4.6,8.4,0
4.7,8.2,0
4.9,8.1,0
5.1,8.1,0
5.2,7.9,0
5.2,7.9,0
5.2,7.8,0
5.3,7.8,0
5.4,7.7,0
5.5,7.6,0
5.6,7.5,0
5.8,7.5,0
5.8,7.5,0
5.9,7.5,0
5.8,7.5,0
5.9,7.5,0
6,7.4,0
6.2,7.4,0
6.2,7.2,0
6.3,7.2,0
6.5,7.1,0
6.7,7.1,0
6.8,7,0
6.8,7,0
6.9,6.9,0
7.1,6.9,0
7.1,6.9,0
7.3,6.8,0
7.3,6.8,0
7.5,6.7,0
7.5,6.5,0
7.5,6.3,0
7.7,6.2,0
7.8,6.1,0
7.8,6,0
7.8,6,0
7.8,5.8,0
7.8,5.7,0
7.8,5.5,0
8,5.5,0
8.1,5.4,0
8.2,5.4,0
8.3,5.3,0
8.4,5.2,0
8.4,5.1,0
8.5,5,0
8.6,4.9,0
8.7,4.9,0
8.8,4.7,0
8.9,4.7,0
9,4.6,0
9.1,4.5,0
9.2,4.4,0
9.3,4.3,0
9.3,4.2,0
9.4,4.2,0
9.5,4.1,0
9.6,4,0
9.7,4,0
9.8,3.9,0
9.9,3.9,0
10,3.9,0
10.2,3.9,0
10.3,4,0
10.5,4,0
10.7,3.9,0
10.7,4,0
10.8,4,0
10.9,3.9,0
11,3.9,0
11.1,3.9,0
11.2,3.9,0
11.3,3.8,0
11.4,3.7,0
11.6,3.5,0
11.7,3.4,0
11.8,3.3,0
12,3.2,0
11.9,3.2,0
12,3.1,0
12.1,3,0
12.3,2.8,0
12.4,2.8,0
12.6,2.7,0
12.6,2.6,0
12.7,2.5,0
12.9,2.4,0
12.9,2.3,0
12.9,2.3,0
12.9,2.2,0
13.1,2.1,0
13.2,2,0
13.2,1.9,0
13.3,1.8,0
13.4,1.7,0
13.5,1.7,0
13.5,1.5,0
13.6,1.5,0
13.6,1.4,0
13.6,1.3,0
13.8,1.3,0
13.9,1.3,0
14,1.2,0
14.2,1.2,0
14.2,1.1,0
14.4,1.1,0
14.5,1.1,0
14.7,1.1,0
14.9,1.1,0
14.9,1,0
15,1,0
15.1,0.9,0
15.2,0.9,0
15.4,0.9,0
15.5,0.9,0
15.7,0.9,0
15.8,0.9,0
16,1,0
16.1,1.1,0
16.2,1.2,0
16.3,1.2,0
16.5,1.3,0
16.6,1.4,0
16.7,1.4,0
16.8,1.5,0
17.1,1.5,0
17.1,1.5,0
17.3,1.6,0
17.4,1.6,0
17.6,1.7,0
17.7,1.7,0
17.9,1.7,0
18,1.8,0
18.1,1.8,0
18.1,1.8,0
18.1,1.9,0
18.3,2,0
18.3,2.1,0
18.3,2.1,0
18.4,2.2,0
18.5,2.3,0
18.6,2.3,0
18.7,2.3,0
18.7,2.3,0
18.9,2.3,0
19,2.4,0
19.2,2.4,0
19.4,2.5,0
19.4,2.5,0
19.6,2.5,0
19.7,2.6,0
19.8,2.6,0
20,2.6,0
20.1,2.6,0
20.3,2.7,0
20.3,2.8,0
20.3,2.8,0
20.5,2.9,0
20.6,2.8,0
20.6,2.8,0
20.9,2.9,0
21,3,0
21.3,3.1,0
21.4,3.2,0
21.5,3.2,0
21.6,3.3,0
21.8,3.3,0
22,3.3,0
22.1,3.3,0
22.3,3.2,0
22.3,3.1,0
22.5,3.1,0
22.6,3,0
22.8,3.1,0
22.9,3.1,0
22.9,3.1,0
23,3.1,0
23,3.1,0
23.1,3.1,0
23.1,3.1,0
23.2,3.1,0
23.2,3.1,0
23.3,3.1,0
23.5,3.1,0
23.5,3.1,0
23.5,3,0
23.5,3,0
23.7,3.1,0
23.9,3.1,0
23.9,3,0
24.2,3.1,0
24.4,3.2,0
24.6,3.3,0
24.8,3.3,0
24.8,3.4,0
25,3.4,0
25.1,3.4,0
25.2,3.4,0
25.3,3.3,0
25.4,3.3,0
25.5,3.3,0
25.6,3.3,0
25.7,3.3,0
25.8,3.2,0
25.9,3.3,0
26.1,3.3,0
26.1,3.3,0
26.1,3.3,0
26.2,3.3,0
26.3,3.3,0
26.4,3.3,0
26.5,3.4,0
26.7,3.4,0
26.9,3.4,0
27.1,3.4,0
27.2,3.4,0
27.4,3.4,0
27.4,3.5,0
27.4,3.5,0
27.5,3.4,0
27.6,3.5,0
27.7,3.6,0
28,3.8,0
28.1,3.8,0
28.3,3.8,0
28.5,3.8,0
28.7,3.9,0
28.8,3.8,0
29,3.8,0
29.2,3.9,0
29.3,3.9,0
29.5,3.9,0
29.6,4,0
29.7,4,0
29.8,4.1,0
30,4,0
30.1,4,0
30.3,4,0
30.5,4,0
30.6,4,0
30.7,4,0
30.9,3.9,0
31.1,4.1,0
31.2,4.1,0
31.3,4.2,0
31.4,4.2,0
31.5,4.2,0
31.6,4.2,0
31.8,4.2,0
31.9,4.1,0
31.9,4.1,0
32,3.9,0
32.1,3.8,0
32.3,3.8,0
32.5,3.7,0
32.5,3.7,0
32.7,3.7,0
32.8,3.7,0
32.9,3.7,0
32.9,3.6,0
33,3.5,0
33,3.4,0
33.2,3.4,0
33.2,3.3,0
33.2,3.3,0
33.3,3.2,0
33.5,3.1,0
33.5,3.1,0
33.5,3.1,0
33.6,3.1,0
33.8,3.1,0
33.9,3.1,0
34.1,3,0
34.2,3,0
34.5,2.9,0
34.5,2.8,0
34.7,2.8,0
34.8,2.8,0
35,2.8,0
35.1,2.8,0
35.3,2.7,0
35.4,2.7,0
35.5,2.6,0
35.7,2.6,0
35.8,2.6,0
35.9,2.6,0
36.1,2.6,0
36.4,2.6,0
36.6,2.5,0
36.7,2.5,0
36.9,2.5,0
37.1,2.6,0
37.2,2.6,0
37.4,2.7,0
37.7,2.8,0
37.7,2.7,0
37.9,2.7,0
38,2.7,0
38,2.7,0
38.2,2.6,0
38.3,2.6,0
38.5,2.7,0
38.5,2.6,0
38.7,2.6,0
38.8,2.6,0
39,2.6,0
39,2.6,0
39.2,2.6,0
39.3,2.7,0
39.5,2.6,0
39.6,2.8,0
39.9,2.8,0
40,2.8,0
40,2.8,0
40.1,2.8,0
40.3,2.8,0
40.4,2.9,0
